File: ast.test
Build ID: dbb0b4b96d4d9d9247369807e2cb946e579cedf4
Type: alloc_space
Time: 2026-09-05 01:09:21 UTC
Showing nodes accounting for 53.51MB, 100% of 53.51MB total
      flat  flat%   sum%        cum   cum%
      39MB 72.89% 72.89%       39MB 72.89%  github.com/microsoft/TypeScript/tsc/internal/ast_test.BenchmarkListSlice
   11.50MB 21.49% 94.38%    11.50MB 21.49%  github.com/microsoft/TypeScript/tsc/internal/ast_test.BenchmarkDeclarationNodes
       1MB  1.88% 96.26%        1MB  1.88%  regexp.mergeRuneSets.func2 (inline)
       1MB  1.87% 98.13%        1MB  1.87%  runtime.mallocgc
    0.50MB  0.94% 99.07%     0.50MB  0.94%  regexp/syntax.(*compiler).inst (inline)
    0.50MB  0.93%   100%     0.50MB  0.93%  testing.(*B).ResetTimer
         0     0%   100%        1MB  1.88%  github.com/google/go-cmp/cmp.init
         0     0%   100%     0.50MB  0.94%  main.main
         0     0%   100%     1.51MB  2.81%  regexp.Compile (inline)
         0     0%   100%        1MB  1.88%  regexp.MustCompile
         0     0%   100%     1.51MB  2.81%  regexp.compile
         0     0%   100%        1MB  1.88%  regexp.compileOnePass
         0     0%   100%        1MB  1.88%  regexp.makeOnePass
         0     0%   100%        1MB  1.88%  regexp.makeOnePass.func1
         0     0%   100%        1MB  1.88%  regexp.mergeRuneSets
         0     0%   100%     0.50MB  0.94%  regexp/syntax.(*compiler).compile
         0     0%   100%     0.50MB  0.94%  regexp/syntax.(*compiler).rune
         0     0%   100%     0.50MB  0.94%  regexp/syntax.Compile
         0     0%   100%        1MB  1.87%  runtime.allocm
         0     0%   100%        1MB  1.88%  runtime.doInit (inline)
         0     0%   100%        1MB  1.88%  runtime.doInit1
         0     0%   100%     1.51MB  2.81%  runtime.main
         0     0%   100%     0.50MB  0.94%  runtime.mcall
         0     0%   100%     0.50MB  0.94%  runtime.mstart
         0     0%   100%     0.50MB  0.94%  runtime.mstart0
         0     0%   100%     0.50MB  0.94%  runtime.mstart1
         0     0%   100%        1MB  1.87%  runtime.newm
         0     0%   100%        1MB  1.87%  runtime.newobject
         0     0%   100%     0.50MB  0.94%  runtime.park_m
         0     0%   100%        1MB  1.87%  runtime.resetspinning
         0     0%   100%        1MB  1.87%  runtime.schedule
         0     0%   100%        1MB  1.87%  runtime.startm
         0     0%   100%        1MB  1.87%  runtime.wakep
         0     0%   100%       51MB 95.31%  testing.(*B).run1.func1
