gc 1 @0.001s 2%: 0.007+0.15+0.002 ms clock, 0.056+0/0.23/0.16+0.020 ms cpu, 1->1->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P (forced)
gc 2 @0.001s 3%: 0.015+0.11+0.001 ms clock, 0.12+0/0.14/0.099+0.015 ms cpu, 0->0->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P (forced)
gc 3 @0.001s 4%: 0.024+0.13+0.001 ms clock, 0.19+0/0.18/0.063+0.012 ms cpu, 0->0->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P (forced)
gc 4 @0.002s 4%: 0.018+0.16+0.002 ms clock, 0.14+0/0.20/0.14+0.022 ms cpu, 4->4->3 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @0.003s 4%: 0.032+0.17+0.002 ms clock, 0.26+0/0.19/0.17+0.019 ms cpu, 8->8->4 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @0.004s 3%: 0.022+0.17+0.002 ms clock, 0.17+0.008/0.18/0.15+0.022 ms cpu, 9->9->7 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @0.006s 3%: 0.027+0.19+0.002 ms clock, 0.22+0.041/0.19/0.053+0.021 ms cpu, 14->14->10 MB, 14 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @0.009s 2%: 0.036+0.19+0.002 ms clock, 0.29+0/0.16/0.19+0.019 ms cpu, 16->16->13 MB, 21 MB goal, 0 MB stacks, 0 MB globals, 8 P (forced)
gc 9 @0.009s 2%: 0.026+0.12+0.002 ms clock, 0.20+0/0.14/0.10+0.016 ms cpu, 13->13->13 MB, 26 MB goal, 0 MB stacks, 0 MB globals, 8 P (forced)
gc 10 @0.047s 19%: 12+7.6+0.038 ms clock, 101+0.38/6.6/4.9+0.30 ms cpu, 25->26->25 MB, 26 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @0.089s 14%: 0.074+4.2+0.014 ms clock, 0.59+0.041/8.0/14+0.11 ms cpu, 45->47->46 MB, 51 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @0.125s 11%: 0.048+8.1+0.016 ms clock, 0.39+0.021/15/31+0.13 ms cpu, 78->83->80 MB, 92 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @0.191s 9%: 0.053+12+0.014 ms clock, 0.42+0.032/24/61+0.11 ms cpu, 137->143->139 MB, 161 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @0.213s 9%: 0.036+10+0.003 ms clock, 0.29+0/20/61+0.027 ms cpu, 145->145->143 MB, 278 MB goal, 0 MB stacks, 0 MB globals, 8 P (forced)
gc 15 @0.225s 10%: 0.029+10+0.002 ms clock, 0.23+0/21/63+0.022 ms cpu, 143->143->143 MB, 287 MB goal, 0 MB stacks, 0 MB globals, 8 P (forced)
gc 16 @0.236s 10%: 0.033+10+0.003 ms clock, 0.26+0/20/62+0.028 ms cpu, 143->143->143 MB, 287 MB goal, 0 MB stacks, 0 MB globals, 8 P (forced)
