=== RUN   TestZZReverseRoles
REVERSE 17415 files 2584467 nodes, mismatches 2 kinds
MISMATCH
KindJsxNamespacedName Text: 124
KindMetaProperty Text: 90
SKIPPED (Pointer panics) 665 kind/role pairs
KindAbstractKeyword Expression: 334
KindAbstractKeyword Initializer: 334
KindAbstractKeyword Text: 334
KindAccessorKeyword Expression: 186
KindAccessorKeyword Initializer: 186
KindAccessorKeyword Text: 186
KindAmpersandAmpersandEqualsToken Expression: 21
KindAmpersandAmpersandEqualsToken Initializer: 21
KindAmpersandAmpersandEqualsToken Text: 21
KindAmpersandAmpersandToken Expression: 8664
KindAmpersandAmpersandToken Initializer: 8664
KindAmpersandAmpersandToken Text: 8664
KindAmpersandEqualsToken Expression: 103
KindAmpersandEqualsToken Initializer: 103
KindAmpersandEqualsToken Text: 103
KindAmpersandToken Expression: 4584
KindAmpersandToken Initializer: 4584
KindAmpersandToken Text: 4584
KindAnyKeyword Expression: 9783
KindAnyKeyword Initializer: 9783
KindAnyKeyword Text: 9783
KindArrayBindingPattern Expression: 1190
KindArrayBindingPattern Initializer: 1190
KindArrayBindingPattern Text: 1190
KindArrayLiteralExpression Expression: 7680
KindArrayLiteralExpression Initializer: 7680
KindArrayLiteralExpression Text: 7680
KindArrayType Expression: 10100
KindArrayType Initializer: 10100
KindArrayType Text: 10100
KindArrowFunction Expression: 9098
KindArrowFunction Initializer: 9098
KindArrowFunction Text: 9098
KindAsExpression Initializer: 13696
KindAsExpression Text: 13696
KindAssertsKeyword Expression: 70
KindAssertsKeyword Initializer: 70
KindAssertsKeyword Text: 70
KindAsteriskAsteriskEqualsToken Expression: 203
KindAsteriskAsteriskEqualsToken Initializer: 203
KindAsteriskAsteriskEqualsToken Text: 203
KindAsteriskAsteriskToken Expression: 1035
KindAsteriskAsteriskToken Initializer: 1035
KindAsteriskAsteriskToken Text: 1035
KindAsteriskEqualsToken Expression: 132
KindAsteriskEqualsToken Initializer: 132
KindAsteriskEqualsToken Text: 132
KindAsteriskToken Expression: 1477
KindAsteriskToken Initializer: 1477
KindAsteriskToken Text: 1477
KindAsyncKeyword Expression: 1563
KindAsyncKeyword Initializer: 1563
KindAsyncKeyword Text: 1563
KindAwaitExpression Initializer: 808
KindAwaitExpression Text: 808
KindAwaitKeyword Expression: 77
KindAwaitKeyword Initializer: 77
KindAwaitKeyword Text: 77
KindBarBarEqualsToken Expression: 132
KindBarBarEqualsToken Initializer: 132
KindBarBarEqualsToken Text: 132
KindBarBarToken Expression: 5797
KindBarBarToken Initializer: 5797
KindBarBarToken Text: 5797
KindBarEqualsToken Expression: 595
KindBarEqualsToken Initializer: 595
KindBarEqualsToken Text: 595
KindBarToken Expression: 3651
KindBarToken Initializer: 3651
KindBarToken Text: 3651
KindBigIntKeyword Expression: 57
KindBigIntKeyword Initializer: 57
KindBigIntKeyword Text: 57
KindBigIntLiteral Expression: 305
KindBigIntLiteral Initializer: 305
KindBinaryExpression Expression: 97985
KindBinaryExpression Initializer: 97985
KindBinaryExpression Text: 97985
KindBindingElement Expression: 5204
KindBindingElement Text: 5204
KindBlock Expression: 58469
KindBlock Initializer: 58469
KindBlock Text: 58469
KindBooleanKeyword Expression: 7399
KindBooleanKeyword Initializer: 7399
KindBooleanKeyword Text: 7399
KindBreakStatement Expression: 1482
KindBreakStatement Initializer: 1482
KindBreakStatement Text: 1482
KindCallExpression Initializer: 73807
KindCallExpression Text: 73807
KindCallSignature Expression: 1411
KindCallSignature Initializer: 1411
KindCallSignature Text: 1411
KindCaretEqualsToken Expression: 29
KindCaretEqualsToken Initializer: 29
KindCaretEqualsToken Text: 29
KindCaretToken Expression: 555
KindCaretToken Initializer: 555
KindCaretToken Text: 555
KindCaseBlock Expression: 964
KindCaseBlock Initializer: 964
KindCaseBlock Text: 964
KindCaseClause Initializer: 6930
KindCaseClause Text: 6930
KindCatchClause Expression: 273
KindCatchClause Initializer: 273
KindCatchClause Text: 273
KindClassDeclaration Expression: 10312
KindClassDeclaration Initializer: 10312
KindClassDeclaration Text: 10312
KindClassExpression Expression: 638
KindClassExpression Initializer: 638
KindClassExpression Text: 638
KindClassStaticBlockDeclaration Expression: 163
KindClassStaticBlockDeclaration Initializer: 163
KindClassStaticBlockDeclaration Text: 163
KindColonToken Expression: 5558
KindColonToken Initializer: 5558
KindColonToken Text: 5558
KindCommaToken Expression: 1025
KindCommaToken Initializer: 1025
KindCommaToken Text: 1025
KindComputedPropertyName Initializer: 2461
KindComputedPropertyName Text: 2461
KindConditionalExpression Expression: 5558
KindConditionalExpression Initializer: 5558
KindConditionalExpression Text: 5558
KindConditionalType Expression: 1341
KindConditionalType Initializer: 1341
KindConditionalType Text: 1341
KindConstKeyword Expression: 398
KindConstKeyword Initializer: 398
KindConstKeyword Text: 398
KindConstructSignature Expression: 1630
KindConstructSignature Initializer: 1630
KindConstructSignature Text: 1630
KindConstructor Expression: 2417
KindConstructor Initializer: 2417
KindConstructor Text: 2417
KindConstructorType Expression: 796
KindConstructorType Initializer: 796
KindConstructorType Text: 796
KindContinueStatement Expression: 597
KindContinueStatement Initializer: 597
KindContinueStatement Text: 597
KindDebuggerStatement Expression: 17
KindDebuggerStatement Initializer: 17
KindDebuggerStatement Text: 17
KindDeclareKeyword Expression: 8890
KindDeclareKeyword Initializer: 8890
KindDeclareKeyword Text: 8890
KindDecorator Initializer: 1007
KindDecorator Text: 1007
KindDefaultClause Expression: 431
KindDefaultClause Initializer: 431
KindDefaultClause Text: 431
KindDefaultKeyword Expression: 266
KindDefaultKeyword Initializer: 266
KindDefaultKeyword Text: 266
KindDeleteExpression Initializer: 218
KindDeleteExpression Text: 218
KindDoStatement Initializer: 212
KindDoStatement Text: 212
