goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  339433	      1718 ns/op	       225.0 logical-nodes	         8.901 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  308314	      1727 ns/op	       225.0 logical-nodes	         8.950 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  307632	      1728 ns/op	       225.0 logical-nodes	         8.951 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  303873	      1718 ns/op	       225.0 logical-nodes	         8.903 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  301630	      1717 ns/op	       225.0 logical-nodes	         8.896 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  308491	      1718 ns/op	       225.0 logical-nodes	         8.903 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  308887	      1717 ns/op	       225.0 logical-nodes	         8.898 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  307671	      1719 ns/op	       225.0 logical-nodes	         8.909 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  309399	      1722 ns/op	       225.0 logical-nodes	         8.924 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  298533	      1731 ns/op	       225.0 logical-nodes	         8.968 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  307368	      1723 ns/op	       225.0 logical-nodes	         8.928 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  303204	      1717 ns/op	       225.0 logical-nodes	         8.898 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43351	     13526 ns/op	      1793 logical-nodes	         8.800 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43336	     13543 ns/op	      1793 logical-nodes	         8.811 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43399	     13561 ns/op	      1793 logical-nodes	         8.823 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   42992	     13723 ns/op	      1793 logical-nodes	         8.928 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43210	     13544 ns/op	      1793 logical-nodes	         8.812 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   42886	     13530 ns/op	      1793 logical-nodes	         8.803 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43346	     13525 ns/op	      1793 logical-nodes	         8.799 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43419	     13536 ns/op	      1793 logical-nodes	         8.807 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43304	     13615 ns/op	      1793 logical-nodes	         8.858 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43066	     13577 ns/op	      1793 logical-nodes	         8.834 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43302	     13541 ns/op	      1793 logical-nodes	         8.810 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43256	     13600 ns/op	      1793 logical-nodes	         8.848 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2284	    216627 ns/op	     28673 logical-nodes	         8.814 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2412	    217535 ns/op	     28673 logical-nodes	         8.851 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2379	    217800 ns/op	     28673 logical-nodes	         8.862 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2408	    216653 ns/op	     28673 logical-nodes	         8.815 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
