goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  337575	      1722 ns/op	       225.0 logical-nodes	         8.922 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  306304	      1718 ns/op	       225.0 logical-nodes	         8.901 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  307368	      1724 ns/op	       225.0 logical-nodes	         8.933 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  301870	      1726 ns/op	       225.0 logical-nodes	         8.941 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  308724	      1711 ns/op	       225.0 logical-nodes	         8.867 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  308260	      1715 ns/op	       225.0 logical-nodes	         8.886 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  307791	      1721 ns/op	       225.0 logical-nodes	         8.915 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  308334	      1723 ns/op	       225.0 logical-nodes	         8.928 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  307368	      1720 ns/op	       225.0 logical-nodes	         8.911 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  309140	      1725 ns/op	       225.0 logical-nodes	         8.938 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  308082	      1723 ns/op	       225.0 logical-nodes	         8.928 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/store-8         	  307822	      1717 ns/op	       225.0 logical-nodes	         8.896 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   42943	     13786 ns/op	      1793 logical-nodes	         8.970 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   42828	     13530 ns/op	      1793 logical-nodes	         8.803 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43282	     13544 ns/op	      1793 logical-nodes	         8.812 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43219	     13582 ns/op	      1793 logical-nodes	         8.837 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43269	     13555 ns/op	      1793 logical-nodes	         8.819 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43202	     13562 ns/op	      1793 logical-nodes	         8.823 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43347	     13534 ns/op	      1793 logical-nodes	         8.805 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   42952	     13567 ns/op	      1793 logical-nodes	         8.827 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43292	     13574 ns/op	      1793 logical-nodes	         8.831 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43276	     13576 ns/op	      1793 logical-nodes	         8.833 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43087	     13540 ns/op	      1793 logical-nodes	         8.810 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/store-8        	   43422	     13524 ns/op	      1793 logical-nodes	         8.799 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2330	    217264 ns/op	     28673 logical-nodes	         8.840 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2390	    217183 ns/op	     28673 logical-nodes	         8.837 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2292	    217655 ns/op	     28673 logical-nodes	         8.856 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2398	    216761 ns/op	     28673 logical-nodes	         8.820 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2362	    216595 ns/op	     28673 logical-nodes	         8.813 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2349	    217057 ns/op	     28673 logical-nodes	         8.832 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2356	    217165 ns/op	     28673 logical-nodes	         8.836 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2394	    218484 ns/op	     28673 logical-nodes	         8.890 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2330	    218190 ns/op	     28673 logical-nodes	         8.878 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2376	    217073 ns/op	     28673 logical-nodes	         8.832 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2274	    217113 ns/op	     28673 logical-nodes	         8.834 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2420	    216812 ns/op	     28673 logical-nodes	         8.822 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  211744	      2591 ns/op	       225.0 logical-nodes	        11.51 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  211051	      2586 ns/op	       225.0 logical-nodes	        11.49 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  213325	      2587 ns/op	       225.0 logical-nodes	        11.50 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  211977	      2604 ns/op	       225.0 logical-nodes	        11.57 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  212856	      2611 ns/op	       225.0 logical-nodes	        11.60 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  208938	      2589 ns/op	       225.0 logical-nodes	        11.51 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  213085	      2589 ns/op	       225.0 logical-nodes	        11.51 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  212137	      2586 ns/op	       225.0 logical-nodes	        11.49 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  212994	      2588 ns/op	       225.0 logical-nodes	        11.50 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  212730	      2716 ns/op	       225.0 logical-nodes	        12.07 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  194880	      2591 ns/op	       225.0 logical-nodes	        11.52 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  213157	      2589 ns/op	       225.0 logical-nodes	        11.51 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   23242	     25340 ns/op	      1793 logical-nodes	        14.13 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   28958	     25457 ns/op	      1793 logical-nodes	        14.20 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   23308	     25362 ns/op	      1793 logical-nodes	        14.14 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   23209	     25472 ns/op	      1793 logical-nodes	        14.21 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   23366	     25367 ns/op	      1793 logical-nodes	        14.15 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   23385	     25460 ns/op	      1793 logical-nodes	        14.20 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   23245	     25403 ns/op	      1793 logical-nodes	        14.17 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   23236	     25378 ns/op	      1793 logical-nodes	        14.15 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
