attempt	variant	started_at
01	baseline	2026-09-17T17:07:43Z
02	candidate	2026-09-17T17:07:49Z
03	candidate	2026-09-17T17:07:56Z
04	baseline	2026-09-17T17:08:01Z
05	baseline	2026-09-17T17:08:06Z
06	candidate	2026-09-17T17:08:11Z
07	candidate	2026-09-17T17:08:16Z
08	baseline	2026-09-17T17:08:21Z
09	baseline	2026-09-17T17:08:25Z
10	candidate	2026-09-17T17:08:30Z
11	candidate	2026-09-17T17:08:35Z
12	baseline	2026-09-17T17:08:40Z
13	baseline	2026-09-17T17:08:45Z
14	candidate	2026-09-17T17:08:50Z
15	candidate	2026-09-17T17:08:55Z
16	baseline	2026-09-17T17:08:59Z
17	baseline	2026-09-17T17:09:04Z
18	candidate	2026-09-17T17:09:10Z
19	candidate	2026-09-17T17:09:14Z
20	baseline	2026-09-17T17:09:18Z
21	baseline	2026-09-17T17:09:23Z
22	candidate	2026-09-17T17:09:28Z
23	candidate	2026-09-17T17:09:33Z
24	baseline	2026-09-17T17:09:37Z
