pair	order	subtrees	baseline_ns_op	candidate_ns_op	delta_percent	candidate_faster
1	AB	32	2582	2530	-2.014	yes
1	AB	256	20615	20168	-2.168	yes
1	AB	4096	408183	321452	-21.248	yes
2	BA	32	3196	2527	-20.932	yes
2	BA	256	25561	20074	-21.466	yes
2	BA	4096	412494	322830	-21.737	yes
3	AB	32	2601	2527	-2.845	yes
3	AB	256	25352	20044	-20.937	yes
3	AB	4096	407797	320895	-21.310	yes
4	BA	32	3190	2526	-20.815	yes
4	BA	256	25449	20052	-21.207	yes
4	BA	4096	330054	323990	-1.837	yes
5	AB	32	2603	2528	-2.881	yes
5	AB	256	20507	20062	-2.170	yes
5	AB	4096	327809	321199	-2.016	yes
6	BA	32	3191	2540	-20.401	yes
6	BA	256	25362	20049	-20.949	yes
6	BA	4096	410619	321010	-21.823	yes
7	AB	32	2593	2542	-1.967	yes
7	AB	256	25501	20057	-21.348	yes
7	AB	4096	328166	320686	-2.279	yes
8	BA	32	3189	2530	-20.665	yes
8	BA	256	25371	20040	-21.012	yes
8	BA	4096	409627	331624	-19.042	yes
9	AB	32	2581	2540	-1.589	yes
9	AB	256	20615	20063	-2.678	yes
9	AB	4096	328156	320886	-2.215	yes
10	BA	32	3191	2538	-20.464	yes
10	BA	256	20506	20062	-2.165	yes
10	BA	4096	406911	321062	-21.098	yes
11	AB	32	2580	2532	-1.860	yes
11	AB	256	25467	20295	-20.309	yes
11	AB	4096	414791	321253	-22.551	yes
12	BA	32	3215	2528	-21.369	yes
12	BA	256	25463	20159	-20.830	yes
12	BA	4096	407570	321366	-21.151	yes
