goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8         	  887240	      1333 ns/op	       225.0 logical-nodes	         6.908 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8         	  780265	      1332 ns/op	       225.0 logical-nodes	         6.904 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8         	  774561	      1319 ns/op	       225.0 logical-nodes	         6.833 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8         	  780986	      1327 ns/op	       225.0 logical-nodes	         6.878 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8         	  768637	      1531 ns/op	       225.0 logical-nodes	         7.930 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8         	  788199	      1411 ns/op	       225.0 logical-nodes	         7.311 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8         	  186214	      6358 ns/op	       449.0 logical-nodes	        16.52 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8         	  203731	      5412 ns/op	       449.0 logical-nodes	        14.06 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8         	  215811	      5053 ns/op	       449.0 logical-nodes	        13.12 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8         	  156632	      6631 ns/op	       449.0 logical-nodes	        17.22 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8         	  154396	      6906 ns/op	       449.0 logical-nodes	        17.94 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8         	  158085	      6597 ns/op	       449.0 logical-nodes	        17.13 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8        	  194312	      7808 ns/op	       897.0 logical-nodes	        10.15 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8        	  103777	      9831 ns/op	       897.0 logical-nodes	        12.78 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8        	  206434	      6346 ns/op	       897.0 logical-nodes	         8.252 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8        	  103393	     11441 ns/op	       897.0 logical-nodes	        14.88 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8        	  166891	      6436 ns/op	       897.0 logical-nodes	         8.369 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8        	  184702	      7100 ns/op	       897.0 logical-nodes	         9.233 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8        	  105732	     11233 ns/op	      1793 logical-nodes	         7.309 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8        	  102888	     11082 ns/op	      1793 logical-nodes	         7.210 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8        	  106069	     11736 ns/op	      1793 logical-nodes	         7.635 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8        	   98881	     13006 ns/op	      1793 logical-nodes	         8.462 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8        	  107779	     10969 ns/op	      1793 logical-nodes	         7.136 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8        	  110574	     14911 ns/op	      1793 logical-nodes	         9.702 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8        	   37173	     36921 ns/op	      3585 logical-nodes	        12.01 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8        	   46119	     25394 ns/op	      3585 logical-nodes	         8.264 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8        	   44397	     27423 ns/op	      3585 logical-nodes	         8.924 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8        	   48582	     23325 ns/op	      3585 logical-nodes	         7.590 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8        	   46518	     29208 ns/op	      3585 logical-nodes	         9.505 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8        	   50286	     23606 ns/op	      3585 logical-nodes	         7.682 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8       	   26251	     46438 ns/op	      7169 logical-nodes	         7.557 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8       	   25798	     47501 ns/op	      7169 logical-nodes	         7.730 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8       	   26310	     50149 ns/op	      7169 logical-nodes	         8.161 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8       	   26258	     44847 ns/op	      7169 logical-nodes	         7.298 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8       	   26575	     44043 ns/op	      7169 logical-nodes	         7.167 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8       	   27818	     44162 ns/op	      7169 logical-nodes	         7.187 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8       	   13639	     86212 ns/op	     14337 logical-nodes	         7.015 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8       	   13383	     85763 ns/op	     14337 logical-nodes	         6.979 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8       	   13851	     88221 ns/op	     14337 logical-nodes	         7.179 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8       	   13533	     85493 ns/op	     14337 logical-nodes	         6.957 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8       	   13572	     86515 ns/op	     14337 logical-nodes	         7.040 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8       	   14058	     85467 ns/op	     14337 logical-nodes	         6.955 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8       	    6876	    170541 ns/op	     28673 logical-nodes	         6.939 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8       	    6720	    170909 ns/op	     28673 logical-nodes	         6.954 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8       	    6489	    170087 ns/op	     28673 logical-nodes	         6.921 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
