goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8           	  580214	      1832 ns/op	       225.0 logical-nodes	         9.492 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8           	  623883	      1974 ns/op	       225.0 logical-nodes	        10.23 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8           	  558963	      1973 ns/op	       225.0 logical-nodes	        10.22 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8           	  533936	      2033 ns/op	       225.0 logical-nodes	        10.53 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8           	  586780	      3053 ns/op	       225.0 logical-nodes	        15.82 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-32/representation-8           	  291345	      3465 ns/op	       225.0 logical-nodes	        17.95 ns/visit	       193.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8           	  118934	      8877 ns/op	       449.0 logical-nodes	        23.06 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8           	  231537	      4682 ns/op	       449.0 logical-nodes	        12.16 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8           	  271725	      4198 ns/op	       449.0 logical-nodes	        10.90 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8           	  287068	      3800 ns/op	       449.0 logical-nodes	         9.870 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8           	  327346	      3989 ns/op	       449.0 logical-nodes	        10.36 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-64/representation-8           	  223354	      5007 ns/op	       449.0 logical-nodes	        13.00 ns/visit	       385.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8          	  147595	      7985 ns/op	       897.0 logical-nodes	        10.38 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8          	  159129	      8578 ns/op	       897.0 logical-nodes	        11.16 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8          	  134328	      8746 ns/op	       897.0 logical-nodes	        11.37 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8          	  168687	      7356 ns/op	       897.0 logical-nodes	         9.565 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8          	  154984	      7394 ns/op	       897.0 logical-nodes	         9.615 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-128/representation-8          	  152649	      7325 ns/op	       897.0 logical-nodes	         9.525 ns/visit	       769.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8          	   64105	     16035 ns/op	      1793 logical-nodes	        10.43 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8          	   83072	     16269 ns/op	      1793 logical-nodes	        10.58 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8          	   76940	     15617 ns/op	      1793 logical-nodes	        10.16 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8          	   78176	     17352 ns/op	      1793 logical-nodes	        11.29 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8          	   65946	     19104 ns/op	      1793 logical-nodes	        12.43 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-256/representation-8          	   61270	     19688 ns/op	      1793 logical-nodes	        12.81 ns/visit	      1537 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8          	   38205	     31066 ns/op	      3585 logical-nodes	        10.11 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8          	   36783	     32419 ns/op	      3585 logical-nodes	        10.55 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8          	   34628	     32179 ns/op	      3585 logical-nodes	        10.47 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8          	   39283	     38080 ns/op	      3585 logical-nodes	        12.39 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8          	   35964	     33745 ns/op	      3585 logical-nodes	        10.98 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-512/representation-8          	   39765	     30549 ns/op	      3585 logical-nodes	         9.941 ns/visit	      3073 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8         	   20164	     57450 ns/op	      7169 logical-nodes	         9.349 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
